Date,AL_Monthly_Sales,AK_Monthly_Sales,AZ_Monthly_Sales,AR_Monthly_Sales,CA_Monthly_Sales,CO_Monthly_Sales,CT_Monthly_Sales,DE_Monthly_Sales,FL_Monthly_Sales,GA_Monthly_Sales,HI_Monthly_Sales,ID_Monthly_Sales,IL_Monthly_Sales,IN_Monthly_Sales,IA_Monthly_Sales,KS_Monthly_Sales,KY_Monthly_Sales,LA_Monthly_Sales,ME_Monthly_Sales,MD_Monthly_Sales,MA_Monthly_Sales,MI_Monthly_Sales,MN_Monthly_Sales,MS_Monthly_Sales,MO_Monthly_Sales,MT_Monthly_Sales,NE_Monthly_Sales,NV_Monthly_Sales,NH_Monthly_Sales,NJ_Monthly_Sales,NM_Monthly_Sales,NY_Monthly_Sales,NC_Monthly_Sales,ND_Monthly_Sales,OH_Monthly_Sales,OK_Monthly_Sales,OR_Monthly_Sales,PA_Monthly_Sales,RI_Monthly_Sales,SC_Monthly_Sales,SD_Monthly_Sales,TN_Monthly_Sales,TX_Monthly_Sales,UT_Monthly_Sales,VT_Monthly_Sales,VA_Monthly_Sales,WA_Monthly_Sales,WV_Monthly_Sales,WI_Monthly_Sales,WY_Monthly_Sales
2009-01-01,7153.59302,622.89115,5461.17269,3772.84655,20947.60131,4324.20517,2838.96057,1073.34327,17648.17011,11397.5295,812.72425,2056.82994,12969.98932,9430.04052,4166.85598,3292.9934,8482.89613,6288.02169,1047.99579,6138.46955,5127.95811,8740.14629,6088.66212,3799.56273,7824.5787,1475.24624,2631.51457,2554.16909,996.89915,6727.73963,1810.10061,12841.91075,11608.72575,1318.89336,14451.56938,4573.49965,4502.81046,14274.20531,709.0145,6650.60135,1102.02109,8739.37973,28331.88743,2418.54633,536.45715,10648.14115,9167.1834,3396.61451,6139.51402,1476.51032
2009-02-01,6538.09475,556.03016,4823.85546,3483.29267,19092.35221,3929.04536,2666.29526,1001.12415,16732.76128,10168.29755,725.61213,1791.81082,10830.38169,8398.79405,3635.90975,2845.17027,7487.03622,5923.26662,901.22313,5198.2939,4634.77658,8217.15561,5474.64594,3572.46844,6454.3722,1274.04195,2357.00331,2293.9842,987.39712,5987.5646,1594.21464,11718.31481,10493.44792,1187.9553,12243.74826,3836.21146,4092.40423,12255.31612,573.21946,6086.11991,1006.79594,8541.60467,24237.57688,2120.65193,465.13768,8926.72643,8483.71736,2716.84163,5402.90938,1435.5561
2009-03-01,6140.10244,532.85974,5004.79698,3271.88382,19875.74023,4015.46496,2501.66082,935.66077,15560.79166,9794.32861,796.49962,1808.93161,11137.03816,7949.79768,3648.04907,2849.19793,7460.21959,5514.06697,924.77704,5180.46679,4503.12661,8096.99866,5481.45348,3400.8891,6277.97323,1235.71075,2284.25975,2444.54169,856.86204,6196.12532,1623.10761,11315.91348,10158.09732,1173.84367,12268.15976,4158.6444,4213.54798,12369.46589,665.86682,5899.41366,951.35412,7648.14505,25380.42337,2171.11264,466.56149,8926.17746,8235.67574,2596.53553,5629.54292,1382.45855
2009-04-01,5785.37336,509.11918,4881.01413,3008.21037,19983.83161,3919.31761,2276.01455,838.13659,15993.49143,9099.36543,784.52554,1624.02454,10155.01541,7309.58778,3333.16957,2810.00328,7064.22823,5483.49977,857.64652,4594.47879,4161.33346,7445.18645,4917.63807,3144.49599,5797.34891,1164.28824,2046.76887,2400.48563,859.66577,5336.0725,1613.60968,10642.06102,9090.93232,1004.3426,10906.47189,3826.24523,3691.68412,11111.21754,558.40234,5301.41945,876.23497,6891.81014,25230.1863,1978.07738,416.25421,7752.91423,7464.55709,2246.45991,5065.96083,1370.53158
2009-05-01,6516.99188,481.76921,6353.22701,3090.73646,19871.82738,4046.95893,2204.34897,803.11363,17872.43372,10119.63555,846.81403,1842.00404,10286.78252,7527.77476,3232.50892,2977.18594,6704.18553,6098.55183,877.37588,4659.81,4163.28609,7351.77182,4786.63286,3489.00983,5861.11852,1065.97629,2095.88564,3086.3585,809.54176,5887.70933,1780.65624,10583.2319,9471.38148,906.43173,11002.0956,4185.02589,3599.16542,10896.79296,663.16977,5893.58693,808.57296,6937.29469,26511.72042,2124.6756,416.80975,8018.59657,6854.00811,2189.25355,5156.37494,1343.384
2009-06-01,7281.39152,470.70977,6608.25352,3682.34674,22028.05018,4072.89491,2287.89692,885.93625,20348.50184,11895.03521,873.31645,1783.25918,11937.60334,8232.34227,3686.6852,3667.05849,6893.11519,6982.79368,857.78979,5176.90189,4120.29959,8117.814,4952.82815,4032.93548,7062.82411,1100.27293,2308.92617,3045.27939,795.52714,6420.16822,1860.03061,11054.67594,11256.74952,891.47356,12193.92691,5360.64075,3540.08462,11306.36241,581.70477,6975.53985,828.95987,7790.44013,31525.78908,2133.61758,430.59896,9399.51101,6731.54253,2278.08048,5437.17533,1306.05072
2009-07-01,8437.90342,483.18069,8303.8034,4442.94229,24414.20538,4746.90852,2623.19065,1025.50796,22495.78864,13490.92456,885.24515,2265.79015,12148.48865,8408.56169,3726.35792,3812.45145,7131.09286,8057.53196,970.1999,5774.99554,4583.5907,8348.21739,5376.82702,4820.80777,7420.82307,1161.47394,2648.65665,3922.14385,884.36106,7026.71168,2097.89842,12570.16389,12466.88457,945.89306,12333.52791,5732.43089,4136.84229,12260.29542,679.53024,7587.12667,904.27658,8950.35803,36817.13544,2809.23308,466.32109,9890.12415,6889.04745,2355.3882,5748.46658,1301.41885
2009-08-01,8065.032,491.70948,8337.61815,4333.13236,24681.49144,4870.45252,2784.29036,1078.8411,21903.7309,13138.68604,922.87368,2186.71588,12624.44274,9157.46481,3887.92777,3808.67627,7405.45404,7853.92806,1028.62779,6177.90809,5339.97995,8944.94647,5540.18757,4605.23159,7479.41748,1191.32544,2641.60742,3692.91038,1014.21781,8324.82705,2098.1358,13468.85737,12644.68098,956.85562,13424.63463,5680.97484,3819.60938,13201.84484,805.28527,7625.55861,924.05067,8862.15299,36275.88472,2624.16176,489.62607,10549.63861,6952.2095,2597.22382,5899.62274,1264.56969
2009-09-01,7422.65326,481.4488,7426.75315,3896.95516,24862.93914,4415.20499,2537.63403,1048.18427,21486.125,11485.08222,881.26614,1845.55841,11299.95429,8206.7107,3410.20471,3198.44265,7397.54342,7494.45371,925.67721,4896.73037,4439.50554,8130.28785,5196.42861,4256.982,6417.89987,1110.06367,2297.86053,3245.70367,938.15292,6346.13409,1874.24244,12326.22801,10979.72623,921.86855,11572.49139,4500.88608,3645.76047,11296.05285,540.1569,6627.42684,852.8833,8505.40754,32093.92008,2484.67304,436.85298,8460.13969,6689.84115,2273.25593,5313.78547,1258.39471
2009-10-01,6396.99344,507.57267,5836.24147,3406.57913,22723.89505,4177.52643,2281.63583,857.75699,19867.93261,10120.54852,912.73259,1660.60658,10632.37221,7908.44039,3340.90209,2874.53774,7555.54882,6870.21749,991.32735,4598.4645,4379.69807,8086.39553,5191.45869,3866.28497,5980.70392,1136.29887,2173.11432,2562.08954,841.40098,5706.24594,1740.16877,10938.84467,9581.00283,1007.42951,11632.24583,4017.31056,3683.60355,11104.81465,601.48379,5841.64144,840.6725,7330.33875,27872.07234,2144.33078,442.80856,8078.59214,6806.7732,2358.44299,5365.7137,1416.35646
2009-11-01,6141.67277,538.87381,5054.80067,3162.99592,19159.06335,4047.9079,2171.22838,810.86784,17536.98059,9226.15402,846.8021,1779.50644,10421.96674,7780.5836,3516.25474,2799.12722,7004.76216,5903.60693,896.46093,4544.17108,4234.32556,7871.52008,5128.57063,3359.09139,5866.92061,1121.70703,2235.32666,2385.99222,823.37617,5428.59218,1697.46924,10670.56993,9006.88581,1047.839,11029.32698,3851.49955,3837.81993,10967.82987,570.77751,5486.47298,867.54613,6865.44247,23222.92422,2052.30699,420.2905,7782.06645,7110.10686,2361.89979,5187.43475,1483.97712
2009-12-01,6964.80012,594.00632,5341.39239,3621.18253,21942.67871,4470.0187,2542.60766,899.30517,17303.61422,10829.91777,837.77332,2108.74142,12244.43093,9001.71478,4056.36928,3308.49935,8310.67483,6199.64329,1003.86568,5648.45252,4671.31774,8770.57386,5869.12989,3701.39472,7453.3194,1317.36965,2731.27011,2649.99585,891.09109,6391.96246,1857.50195,11903.62523,10899.46428,1285.75404,13241.59447,4821.21073,4803.56458,12703.24013,669.01763,6442.57132,1046.74986,7847.46983,27851.89969,2525.3129,508.79455,10029.83511,8825.33959,2901.33267,5939.93834,1522.72891
2010-01-01,8086.52207,597.8027,5414.01979,4252.1924,20256.04117,4477.79151,2848.00557,1089.42132,20264.38597,12804.66861,834.49057,1999.865,13040.23905,9649.41329,4100.04889,3610.63581,8775.7445,7228.38299,1017.19125,6128.75684,4923.5026,8832.47592,6069.56266,4387.98883,8107.61601,1365.82415,2747.28275,2567.12444,1005.39541,6725.03477,1864.05932,12479.2487,12834.19585,1311.33692,13917.06827,4920.15754,4129.83069,13772.56421,641.62838,7453.38866,1135.21225,9687.67789,30235.38855,2370.75202,520.55185,10723.67248,8854.87884,3161.34223,6091.80996,1578.33151
2010-02-01,7427.48953,534.17688,4803.03305,3944.85522,19038.03972,4050.37452,2466.52968,969.73743,17291.42801,11149.49802,730.94957,1745.05293,11758.33175,8746.93664,3683.88664,2991.84184,8390.86829,6608.23867,898.50812,5489.97348,4782.70384,8025.78716,5318.27532,3933.86899,7272.61532,1189.11945,2446.52098,2239.68976,917.82609,5954.08129,1679.91879,11573.52156,11330.71281,1188.33114,12580.24405,4344.39931,3799.94238,12495.93897,604.39825,6651.90266,1015.55871,8982.00284,26517.6913,2184.937,458.23339,9686.06227,7965.96586,2931.20767,5345.09232,1421.04255
2010-03-01,6923.10662,548.42759,5013.31784,3643.32688,20861.1222,4224.4153,2442.71052,964.06001,16645.13934,10597.06245,812.45561,1739.0503,10816.71019,8465.64493,3593.14515,2978.92108,7905.49775,6246.34038,941.91439,5056.54672,4563.82058,8184.39795,5520.25295,3807.93573,6683.76471,1130.3713,2420.48906,2381.48023,853.95343,5973.78389,1723.16271,11228.2225,10769.89724,1123.06837,12529.70696,4262.45382,3966.47235,12284.6529,595.92224,6383.30407,974.98242,8393.88311,26681.47664,2168.37066,459.81994,8568.47228,7928.82407,2721.71328,5518.60109,1431.25185
2010-04-01,6239.46822,501.56775,4960.90168,3297.28929,20255.5442,3991.42951,2240.76074,824.12359,15364.18987,9473.46888,800.36956,1684.44476,10221.08225,7536.2901,3426.36809,2742.57224,7079.63779,5814.21194,856.56275,4458.33532,4073.51351,7541.36466,5006.96919,3418.11615,5827.34449,1081.99571,2273.06444,2289.68201,835.28772,5520.46686,1694.63206,10298.108,9195.34082,983.1678,10882.02377,3904.41934,3700.82753,10953.61066,554.26236,5581.56225,876.71685,7284.44512,24541.76013,2012.71762,417.9632,7466.78036,7443.73932,2221.82249,5145.56567,1427.6082
2010-05-01,6933.68714,477.74703,5605.46301,3446.7695,19017.65044,4058.93485,2130.52141,791.98735,17944.26941,10672.31987,849.00618,1746.50985,10869.94091,8252.63016,3539.80977,3038.55314,7312.96336,6365.6832,904.24627,4884.5607,4386.48271,8370.8516,5318.92001,3626.25503,6231.4497,1090.51545,2166.57844,2554.56582,811.40416,6044.11099,1738.28002,10666.62427,9822.67282,919.59034,11835.76924,4375.06484,3557.33299,11301.56144,604.86172,6254.17381,822.66181,7105.87706,27222.96074,2109.65141,435.68164,8428.16234,7072.3809,2294.02298,5383.72959,1357.3995
2010-06-01,8230.91886,466.32686,7036.53405,4253.03644,22036.60059,4539.74714,2577.60034,935.9728,21765.52057,12898.12312,832.06955,1907.31758,12512.3697,9121.9248,3894.5193,3848.8594,7618.35488,7856.82839,879.57688,5928.45095,4888.57687,8907.61743,5608.07737,4439.26517,7779.51928,1050.77504,2441.33543,3243.38255,847.66889,7212.76312,2016.4728,12297.2547,12210.1881,932.40995,13482.36487,5606.49686,3509.90252,12835.14842,691.3683,7568.06108,869.62404,8679.18798,33553.24169,2305.28668,447.33217,10489.50892,6923.28171,2552.78995,5792.79662,1398.82811
2010-07-01,9032.34484,487.39451,8481.68769,4867.71438,23616.31093,5108.3884,2957.32863,1214.29222,23137.52696,14430.84832,870.77664,2426.49284,14809.33307,10214.45696,4133.42414,4234.49021,8229.99625,8386.24732,1070.37026,6676.73051,5601.90438,10368.36629,6374.93484,4967.9078,8716.90321,1120.00227,2895.02716,3981.22764,1037.93215,8782.92662,2165.39308,14686.48059,13557.72178,1031.40667,14746.06301,6013.31755,3941.77728,14178.09099,826.78829,8190.60812,988.86157,10168.94874,36387.48928,2889.63511,512.09555,11352.42387,7191.64681,2800.16749,6628.63579,1316.37231
